0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;18;0;0;0
0;0;0;0;0;0;0;0;0;0;30;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5
0;0;0;0;0;0;7.02;5;5;3;0;0;7.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;7.02;12;17;7.02;0;0;7.02;5.27;9.75;7.02;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;12;8.33;0
0;3;8;17;7.83;5;17;14.33;6.33;7.84;8.11;9;5;0;60;7.02;10;0;0;7.02;0;0;0;0;2;7.02;0;14.5;0;0
6;11;13;10.53;8.5;10.08;9.68;8.59;9.74;6.75;4.78;5.3;6.5;7.14;3.5;0;5;0;0;0;0;0;0;0;11;7.02;2;0;0;11
5;12.25;7;9.89;6;9.73;6.94;8.5;7.37;6.28;6.62;6.04;6.09;6.84;8.38;5.67;0;0;0;5;0;4;62;12;4;2;0;1;2;0
4.5;65;9.37;5.72;6.85;4.83;7.5;6.1;9.5;6.09;8.4;3.84;6;6.09;6.9;4.4;9.5;8;13.33;0;12;1;4.2;4.36;7.02;5.73;8;3;0;0
7.02;38.8;20.5;5.2;3.11;5.5;6.5;3.5;7.5;9.5;10;7.25;7.02;6.88;2.33;5.8;5.07;7.45;8.8;6;8;5.4;7.47;6.4;4;5.26;3;7.02;7.5;4.5
0;4.5;0;0;8;5;5.5;11;11;4;4;0;57;0;7;4;7.38;4;5.25;5.59;0;5.36;4.75;3.4;6.7;6.85;5;7;0;7.02
6;0;0;5;0;0;7.02;0;0;0;0;0;0;0;12.5;5.75;7.02;4.9;5.67;4.71;9;5.31;8;5.65;10.5;8;10;7;3;9
7.33;0;0;0;0;0;0;0;0;0;0;11;0;7.02;7;12;6;4.25;4.14;7.79;10.5;4.83;3;7.69;5.91;12;7.02;3.5;1;0
7.5;8.33;7.02;0;0;0;0;0;0;0;0;0;0;3.8;5;2;0;1.5;5;7;7.4;5.5;7.02;7.02;17;9.5;8;10;9.67;12
7.02;6.75;7.02;0;0;0;0;0;0;0;0;7.02;0;4.5;4.33;2.5;2;7.02;6;0;0;0;3;0;0;7.6;8.5;0;7.02;0
7.02;0;11.5;11;0;0;0;0;0;0;0;0;0;0;7.02;0;7.02;0;0;0;0;15;2;0;9;8.92;6.6;7.67;11;8
1;16;7.5;13.5;0;0;0;0;13;0;0;0;0;7.02;0;7.02;0;0;7.02;0;0;4.5;5.33;6;8.5;5;6.5;8.25;10;4
0;3;5;0;0;16.5;0;7.02;0;0;5;0;0;0;2;11;0;2.5;3.25;7.02;7.02;6;11;3.25;7.02;10.67;7.5;2;0;0
0;0;3;15.5;7.02;6;7.02;5;0;0;0;5;0;7.02;1;0;11;3;3;4.5;4.86;11;10.25;7.02;23;4;3;6;7.02;11.5
7.02;4.5;8;0;0;0;4;11;0;0;0;0;0;0;7.02;7.02;7.02;5;5.5;2;3;10;2.5;7.02;7.02;5;4;0;0;0
0;10;13.25;5;4.5;7.02;12;9.33;0;0;7.02;0;0;0;0;0;7.02;2;8;4.67;10.4;0;7;7.02;18;0;0;0;7.02;0