LEVEL;WEIGHT;INTERVAL;TRI_{1}TERMS;TRI_{1}CONCENTRATION;TRI_{1}PARTIAL;TRI_{2}TERMS;TRI_{2}CONCENTRATION;TRI_{2}PARTIAL;TRI_{3}TERMS;TRI_{3}CONCENTRATION;TRI_{3}PARTIAL;TRI_{4}TERMS;TRI_{4}CONCENTRATION;TRI_{4}PARTIAL;TRI_{5}TERMS;TRI_{5}CONCENTRATION;TRI_{5}PARTIAL;
41;401.0;(0.0E00,1.0E-40];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
40;391.0;(1.0E-40,1.0E-39];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
39;381.0;(1.0E-39,1.0E-38];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
38;371.0;(1.0E-38,1.0E-37];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
37;361.0;(1.0E-37,1.0E-36];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
36;351.0;(1.0E-36,1.0E-35];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
35;341.0;(1.0E-35,1.0E-34];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
34;331.0;(1.0E-34,1.0E-33];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
33;321.0;(1.0E-33,1.0E-32];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
32;311.0;(1.0E-32,1.0E-31];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
31;301.0;(1.0E-31,1.0E-30];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
30;291.0;(1.0E-30,1.0E-29];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
29;281.0;(1.0E-29,1.0E-28];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
28;271.0;(1.0E-28,1.0E-27];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
27;261.0;(1.0E-27,1.0E-26];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
26;251.0;(1.0E-26,1.0E-25];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
25;241.0;(1.0E-25,1.0E-24];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
24;231.0;(1.0E-24,1.0E-23];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
23;221.0;(1.0E-23,1.0E-22];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
22;211.0;(1.0E-22,1.0E-21];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
21;201.0;(1.0E-21,1.0E-20];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
20;191.0;(1.0E-20,1.0E-19];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
19;181.0;(1.0E-19,1.0E-18];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
18;171.0;(1.0E-18,1.0E-17];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
17;161.0;(1.0E-17,1.0E-16];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
16;151.0;(1.0E-16,1.0E-15];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
15;141.0;(1.0E-15,1.0E-14];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
14;131.0;(1.0E-14,1.0E-13];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
13;121.0;(1.0E-13,1.0E-12];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
12;111.0;(1.0E-12,1.0E-11];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
11;101.0;(1.0E-11,1.0E-10];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
10;91.0;(1.0E-10,1.0E-09];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
9;81.0;(1.0E-09,1.0E-08];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
8;71.0;(1.0E-08,1.0E-07];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
7;61.0;(1.0E-07,1.0E-06];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
6;51.0;(1.0E-06,1.0E-05];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
5;41.0;(1.0E-05,1.0E-04];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
4;31.0;(1.0E-04,1.0E-03];0;0.0;0.0;3;0.0014340344168260039;14.177820267686425;0;0.0;0.0;2;8.240626287597857E-4;14.102183765966213;3;0.0013611615245009074;14.168784029038113;
3;21.0;(1.0E-03,1.0E-02];19;0.008300567933595456;13.522935779816514;19;0.009082217973231358;0.5721797323135756;14;0.0076045627376425855;13.479087452471482;12;0.004944375772558714;0.311495673671199;13;0.005898366606170599;0.37159709618874776;
2;11.0;(1.0E-02,1.0E-01];283;0.1236347750109218;2.7199650502402797;252;0.12045889101338432;2.650095602294455;300;0.16295491580662683;3.58500814774579;411;0.16934487021013597;3.7255871446229913;301;0.1365698729582577;3.0045372050816694;
1;1.0;(1.0E-01,1.0E00];1987;0.8680646570554827;0.8680646570554827;1818;0.8690248565965584;0.8690248565965584;1527;0.8294405214557306;0.8294405214557306;2002;0.8248866913885455;0.8248866913885455;1887;0.8561705989110708;0.8561705989110708;
