TRIQ,GRQ,PEQ,SPQ,Solution,Algorithm,Dataset
0.10026370258162648,0.09361298465790935,0.1274221547272177,0.12631099382577232,KMeans {1},1D K-Means,QualityC
0.0925906807392531,0.08557655288221666,0.12094883028322699,0.12034555405157066,KMeans {2},1D K-Means,QualityC
0.10574669358694316,0.10071505470067554,0.12605052719982646,0.12569597106420075,KMeans {3},1D K-Means,QualityC
0.07262505555692259,0.06154957239799708,0.11757180162036755,0.11628217476488166,KMeans {4},1D K-Means,QualityC
0.0865407648140859,0.07769506960639594,0.12225142341598619,0.12159566787370532,KMeans {5},1D K-Means,QualityC
0.057895578846506944,0.04252915634806098,0.11948636472031055,0.11923617296027096,Agglomerative {1},1D Agglomerative,QualityC
0.07084988582712162,0.058293660248936674,0.121102312691755,0.12104726358796775,Agglomerative {2},1D Agglomerative,QualityC
0.12728796920489044,0.12502775787328368,0.1359710814563672,0.13668654760626753,Agglomerative {3},1D Agglomerative,QualityC
0.220183855435986,0.2240988165067057,0.20686044274951776,0.20218757955669645,Agglomerative {4},1D Agglomerative,QualityC
0.11647820901806187,0.11293648853586458,0.13140817101436583,0.1298820108793362,Agglomerative {5},1D Agglomerative,QualityC
0.23331644048399477,0.1975146259790328,0.37260280966642634,0.38044458734125897,Cocluster {1},2D SpectralCoclustering,QualityC
0.19610686994509016,0.1743142040731187,0.2794756255654042,0.28707944130054747,Cocluster {2},2D SpectralCoclustering,QualityC
0.17013630397733148,0.14599948165126164,0.2688559982996458,0.26451118826357595,Cocluster {3},2D SpectralCoclustering,QualityC
0.17627169845137625,0.16483108207945774,0.22196565495959197,0.22210267291850838,Cocluster {4},2D SpectralCoclustering,QualityC
0.21920712948860513,0.19797666644099587,0.3062220701016826,0.30203589325640157,Cocluster {5},2D SpectralCoclustering,QualityC
0.2601955289140866,0.23234525460168953,0.37272133574598537,0.3704719165813644,Cocluster {6},2D SpectralCoclustering,QualityC
0.17472744064674245,0.1494790619239189,0.2753497173782529,0.27609219369782034,Cocluster {7},2D SpectralCoclustering,QualityC
0.14732080431395322,0.11927265309300839,0.2591833894021029,0.2598434289933621,Cocluster {8},2D SpectralCoclustering,QualityC
0.1637164219060056,0.1488537500067998,0.2231011102685042,0.22323310873715344,Cocluster {9},2D SpectralCoclustering,QualityC
0.22030008932156395,0.19657092736964277,0.31725131491521813,0.31318215934327903,Cocluster {10},2D SpectralCoclustering,QualityC
0.20956333992982848,0.16973784602433217,0.3692158768068776,0.3685147542967499,Cocluster {11},2D SpectralCoclustering,QualityC
0.19301011297062665,0.17251167286619307,0.2739630186945869,0.2760447280821352,Cocluster {12},2D SpectralCoclustering,QualityC
0.13426994193695432,0.10234884326042115,0.26145189722580847,0.26245677606036544,Cocluster {13},2D SpectralCoclustering,QualityC
0.14142598942776102,0.12246560932816153,0.21932422529864556,0.21521079435367213,Cocluster {14},2D SpectralCoclustering,QualityC
0.20649314472100666,0.17877391559088673,0.3207776412275082,0.3139624812554644,Cocluster {15},2D SpectralCoclustering,QualityC
0.2714031067946784,0.2461217352325793,0.3731241864771868,0.37193299960896264,Cocluster {16},2D SpectralCoclustering,QualityC
0.15899621469620018,0.13068407791688907,0.27186365970071724,0.27262586392617183,Cocluster {17},2D SpectralCoclustering,QualityC
0.19406074612435925,0.17698619577100683,0.26362277038568194,0.26109512468985596,Cocluster {18},2D SpectralCoclustering,QualityC
0.12728154555841295,0.10517014482477982,0.21642984610579227,0.2150244508800985,Cocluster {19},2D SpectralCoclustering,QualityC
0.18660696455854267,0.1555649871383057,0.3132162848281448,0.30833346365083636,Cocluster {20},2D SpectralCoclustering,QualityC
0.2122566169850908,0.17097967716636364,0.3784067975361275,0.3763219549838713,Cocluster {21},2D SpectralCoclustering,QualityC
0.203008687138424,0.1841567158793429,0.27961496365890437,0.27721818069059234,Cocluster {22},2D SpectralCoclustering,QualityC
0.17583692111834792,0.1542594336681018,0.26243860013250986,0.261855141706155,Cocluster {23},2D SpectralCoclustering,QualityC
0.16981552559994417,0.15752341932294978,0.219305893730858,0.21866200768498553,Cocluster {24},2D SpectralCoclustering,QualityC
0.16655637532177434,0.13104092194936767,0.3100497545456856,0.3071866230771163,Cocluster {25},2D SpectralCoclustering,QualityC
0.15766540198103418,0.1467024773313539,0.20126896954030116,0.2017652316192096,Bicluster {1},2D SpectralBiclustering,QualityC
0.1734084319300049,0.15436874041836224,0.24892801900628433,0.2502063769468668,Bicluster {2},2D SpectralBiclustering,QualityC
0.33920617803364106,0.30041803455746474,0.4953508486519134,0.4933666552247796,Bicluster {3},2D SpectralBiclustering,QualityC
0.2008139589971452,0.1903603895658761,0.2446254206954074,0.24063105274903565,Bicluster {4},2D SpectralBiclustering,QualityC
0.4165270663027934,0.3595609407221494,0.6383550843006918,0.6504280529500466,Bicluster {5},2D SpectralBiclustering,QualityC
0.27706406669911127,0.27232881642369133,0.2965698393642376,0.29544029623734436,KMeans {1},1D K-Means,Yeast
0.3734911379022254,0.35916389795901904,0.4259395462545742,0.43566064909552676,KMeans {2},1D K-Means,Yeast
0.11242648831605451,0.09981957864957425,0.16656881765038759,0.15913943631356345,KMeans {3},1D K-Means,Yeast
0.21173497524436607,0.20348506241767172,0.2479542605679476,0.24151499253433917,KMeans {4},1D K-Means,Yeast
0.12479039307119301,0.11179464586582222,0.17665856471615818,0.1768881990691941,KMeans {5},1D K-Means,Yeast
0.15012998785927692,0.13631232060198917,0.20894497227361172,0.20185634150324389,Agglomerative {1},1D Agglomerative,Yeast
0.13358336367578363,0.11670396174316966,0.20392914980744647,0.19827279300503245,Agglomerative {2},1D Agglomerative,Yeast
0.3370765328898944,0.3322432621652973,0.35562252998312494,0.3571967015934409,Agglomerative {3},1D Agglomerative,Yeast
0.07446059629982975,0.054257379967817876,0.1579927325554087,0.1525541907003457,Agglomerative {4},1D Agglomerative,Yeast
0.42162597890738585,0.41328456342554964,0.4620835517457886,0.4478997299236718,Agglomerative {5},1D Agglomerative,Yeast
0.3755615823886716,0.3741271098678238,0.39479452293095735,0.36780442201316776,Cocluster {2},2D SpectralCoclustering,Yeast
0.3314144137051048,0.33084171290526987,0.33765060689074233,0.32975982691814665,Cocluster {3},2D SpectralCoclustering,Yeast
0.32743981359377206,0.31999839861787194,0.357703868025205,0.35670707896954035,Cocluster {4},2D SpectralCoclustering,Yeast
0.39456260629461715,0.39466767187910345,0.40042842599099865,0.38785626192234524,Cocluster {5},2D SpectralCoclustering,Yeast
0.23476418727688383,0.22574821960878166,0.2757903094451959,0.2658658064533889,Cocluster {7},2D SpectralCoclustering,Yeast
0.20443267047514949,0.1770638591249496,0.3204047883393157,0.3074110434125824,Cocluster {8},2D SpectralCoclustering,Yeast
0.18217934077150882,0.16775348805822587,0.2437442218512534,0.23602128139802767,Cocluster {9},2D SpectralCoclustering,Yeast
0.3302949569709335,0.32044427470828996,0.3771493267330688,0.3622460453099464,Cocluster {10},2D SpectralCoclustering,Yeast
0.3796030211019835,0.3884326830842497,0.360114733356099,0.3284540129897383,Cocluster {12},2D SpectralCoclustering,Yeast
0.2720775175510124,0.26103428819828023,0.32137990708773934,0.3111209628361428,Cocluster {13},2D SpectralCoclustering,Yeast
0.17795805907450565,0.16649880737967837,0.22734156051702428,0.22024857119060529,Cocluster {14},2D SpectralCoclustering,Yeast
0.33847889177119245,0.3378916313203649,0.3491784787756981,0.3324773883733069,Cocluster {15},2D SpectralCoclustering,Yeast
0.21681757207897995,0.20879265109898293,0.25251024971661296,0.2453242622813231,Cocluster {17},2D SpectralCoclustering,Yeast
0.20506369640584524,0.18039709682952776,0.3073101385421135,0.30015005088011687,Cocluster {18},2D SpectralCoclustering,Yeast
0.14167279193983925,0.12190460898518307,0.22435169047013465,0.21713935704679316,Cocluster {19},2D SpectralCoclustering,Yeast
0.2587343096517876,0.2374005344827007,0.3558944346395546,0.33224438601671596,Cocluster {20},2D SpectralCoclustering,Yeast
0.2075121203761351,0.19768035997236266,0.2505802496440383,0.24309807433841088,Cocluster {22},2D SpectralCoclustering,Yeast
0.2611162282159641,0.2474182739580888,0.32161575615554755,0.3102003343393826,Cocluster {23},2D SpectralCoclustering,Yeast
0.13547235835666357,0.11673309102825657,0.2135372843351407,0.20732157100544243,Cocluster {24},2D SpectralCoclustering,Yeast
0.2902240058338793,0.2738979348392162,0.36845358118917954,0.3426029984358835,Cocluster {25},2D SpectralCoclustering,Yeast
0.1655281447376386,0.14634458334324618,0.24520617682709797,0.23931860380331843,Bicluster {1},2D SpectralBiclustering,Yeast
0.39699915677406533,0.39234649261895205,0.4232732741377677,0.40794635265126905,Bicluster {2},2D SpectralBiclustering,Yeast
0.41885961603614597,0.4153120737722078,0.4707632339125433,0.39533633627125386,Bicluster {3},2D SpectralBiclustering,Yeast
0.4970483769448406,0.5180245216803986,0.42399317840693185,0.40229441759828577,Bicluster {4},2D SpectralBiclustering,Yeast
0.4328211093163131,0.4306510041707393,0.44478319665296084,0.43821986314425554,Bicluster {5},2D SpectralBiclustering,Yeast
